"","Species","Region","Time","Value","Metric","maximum_intensity_degrees_C","along_shelf_distance_km","Latitude_degreesN","Longitude_degreesW","Recruitment_Number_x_1000000","recreational_CPUE_number_of_fish_caught_per_day_fished_all_species"
"1","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1982,360459,"Abundance",1.8242,792.6093421,40.22615099,-70.98198855,495.179992675781,7.27647105785162
"2","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1983,393831,"Abundance",1.66258333333333,808.0424258,40.35608863,-70.90573945,2030.19995117188,5.78752805584714
"3","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1984,583088,"Abundance",1.58645,781.9913976,40.22562795,-71.16860054,89.2399978637695,5.20611040014539
"4","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1985,525549,"Abundance",1.1837,817.1288996,40.36599576,-70.75694284,137.460006713867,6.76055976410869
"5","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1989,258213,"Abundance",1.8515,796.5941413,40.29854875,-71.01460882,517.580017089844,4.13767980795599
"6","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1990,245469,"Abundance",2.01936666666667,798.7623034,40.30155783,-70.97489654,102.809997558594,3.18951244311742
"7","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1991,177878,"Abundance",2.651,820.0910545,40.41864141,-70.77690834,171.630004882812,3.43615713682841
"8","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1994,113974,"Abundance",2.3303,843.6565816,40.51182101,-70.50702448,152.070007324219,2.53823378500309
"9","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1999,181497,"Abundance",2.26798,831.5220071,40.48861163,-70.68643348,163.229995727539,1.9499994572924
"10","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2000,268593,"Abundance",1.7173,859.7844628,40.67540363,-70.46292463,1222.76000976562,2.38501518124824
"11","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2001,255991,"Abundance",2.1867,842.540767,40.53551709,-70.56903206,196.639999389648,2.11913563781022
"12","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2002,226488,"Abundance",1.71946,860.6596093,40.71166794,-70.50113143,152.429992675781,2.20100690144608
"13","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2003,172130,"Abundance",1.9926,851.666238,40.59326909,-70.49614997,349.940002441406,2.43994708716007
"14","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2005,129322,"Abundance",2.5137,839.2541229,40.46426535,-70.5168912,196.990005493164,2.00177382992635
"15","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2006,103390,"Abundance",2.3589,855.8629659,40.65232782,-70.50544152,380.029998779297,2.06771668484637
"16","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2007,66969,"Abundance",2.3066,844.7495694,40.522895,-70.4982223,99.129997253418,2.1508140608002
"17","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2008,43732,"Abundance",2.18448,856.632906,40.64940364,-70.47681277,216.940002441406,2.31398879257961
"18","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2009,24001,"Abundance",2.4103,848.6868181,40.59044988,-70.54315837,156.779998779297,1.86641432356701
"19","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2010,16899,"Abundance",2.88128571428571,841.6310066,40.54577301,-70.58712033,18.0400009155273,2.83972571969491
"20","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2011,16837,"Abundance",2.7149,834.7560009,40.48660363,-70.62489092,115.779998779297,2.61064653890135
"21","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2012,18849,"Abundance",4.2265,864.6159013,40.79419136,-70.55718802,82.8499984741211,2.66219618460158
"22","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2013,17007,"Abundance",2.7217,873.4671619,40.7457291,-70.33436727,37.7900009155273,3.4275632097748
"23","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2014,24328,"Abundance",1.99035,914.2246527,41.068272,-70.09433965,91.2399978637695,2.79152578434186
"24","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2015,43519,"Abundance",2.601525,868.7240872,40.70259772,-70.34962414,162.720001220703,2.76964968292129
